no,zh_tw,en,aliases
0615,幾何雪花,Cryogonal,几何雪花
0616,小嘴蝸,Shelmet,小嘴蜗
0617,敏捷蟲,Accelgor,敏捷虫
0618,泥巴魚,Stunfisk,泥巴鱼
0619,功夫鼬,Mienfoo,
0620,師父鼬,Mienshao,师父鼬
0621,赤面龍,Druddigon,赤面龙
0622,泥偶小人,Golett,
0623,泥偶巨人,Golurk,
0624,駒刀小兵,Pawniard,驹刀小兵
0625,劈斬司令,Bisharp,劈斩司令
0626,爆炸頭水牛,Bouffalant,爆炸头水牛|爆爆頭水牛
0627,毛頭小鷹,Rufflet,毛头小鹰
0628,勇士雄鷹,Braviary,勇士雄鹰|勇士鷹
0629,禿鷹丫頭,Vullaby,秃鹰丫头|禿鷹小子
0630,禿鷹娜,Mandibuzz,秃鹰娜
0631,熔蟻獸,Heatmor,熔蚁兽|食蟻爐
0632,鐵蟻,Durant,铁蚁
0633,單首龍,Deino,单首龙
0634,雙首暴龍,Zweilous,双首暴龙|雙頭龍
0635,三首惡龍,Hydreigon,三首恶龙|三頭龍
0636,燃燒蟲,Larvesta,燃烧虫
0637,火神蛾,Volcarona,火神蟲
0638,勾帕路翁,Cobalion,
0639,代拉基翁,Terrakion,
0640,畢力吉翁,Virizion,毕力吉翁
0641,龍捲雲,Tornadus,龙卷云
0642,雷電雲,Thundurus,雷电云
0643,萊希拉姆,Reshiram,莱希拉姆|雷希拉姆
0644,捷克羅姆,Zekrom,捷克罗姆
0645,土地雲,Landorus,土地云
0646,酋雷姆,Kyurem,
0647,凱路迪歐,Keldeo,凯路迪欧
0648,美洛耶塔,Meloetta,
0649,蓋諾賽克特,Genesect,盖诺赛克特
0650,哈力栗,Chespin,哈力馬龍
0651,胖胖哈力,Quilladin,肥仔哈力
0652,布里卡隆,Chesnaught,
0653,火狐狸,Fennekin,
0654,長尾火狐,Braixen,长尾火狐
0655,妖火紅狐,Delphox,妖火红狐
0656,呱呱泡蛙,Froakie,
0657,呱頭蛙,Frogadier,呱头蛙
0658,甲賀忍蛙,Greninja,甲贺忍蛙
0659,掘掘兔,Bunnelby,
0660,掘地兔,Diggersby,攉土兔|攉地兔
0661,小箭雀,Fletchling,
0662,火箭雀,Fletchinder,
0663,烈箭鷹,Talonflame,烈箭鹰|烈箭鶲|烈箭鹟
0664,粉蝶蟲,Scatterbug,粉蝶虫|粉蛹
0665,粉蝶蛹,Spewpa,
0666,彩粉蝶,Vivillon,碧粉蝶
0667,小獅獅,Litleo,小狮狮
0668,火炎獅,Pyroar,火炎狮
0669,花蓓蓓,Flabébé,
0670,花葉蒂,Floette,花叶蒂
0671,花潔夫人,Florges,花洁夫人
0672,坐騎小羊,Skiddo,坐骑小羊|咩咩羊
0673,坐騎山羊,Gogoat,坐骑山羊|指路羊
0674,頑皮熊貓,Pancham,顽皮熊猫
0675,流氓熊貓,Pangoro,流氓熊猫|霸道熊猫
0676,多麗米亞,Furfrou,多丽米亚
0677,妙喵,Espurr,
0678,超能妙喵,Meowstic,
0679,獨劍鞘,Honedge,独剑鞘
0680,雙劍鞘,Doublade,双剑鞘
0681,堅盾劍怪,Aegislash,坚盾剑怪
0682,粉香香,Spritzee,
0683,芳香精,Aromatisse,
0684,綿綿泡芙,Swirlix,绵绵泡芙
0685,胖甜妮,Slurpuff,
0686,好啦魷,Inkay,好啦鱿|豪喇花枝|毫喇魷
0687,烏賊王,Malamar,乌贼王
0688,龜腳腳,Binacle,龟脚脚
0689,龜足巨鎧,Barbaracle,龟足巨铠
0690,垃垃藻,Skrelp,
0691,毒藻龍,Dragalge,毒藻龙|毒拉蜜妮
0692,鐵臂槍蝦,Clauncher,铁臂枪虾
0693,鋼炮臂蝦,Clawitzer,钢炮臂虾|鋼砲臂蝦
0694,傘電蜥,Helioptile,伞电蜥|發電蜥
0695,光電傘蜥,Heliolisk,光电伞蜥|電傘查特
0696,寶寶暴龍,Tyrunt,宝宝暴龙|暴龍仔
0697,怪顎龍,Tyrantrum,怪颚龙
0698,冰雪龍,Amaura,冰雪龙
0699,冰雪巨龍,Aurorus,冰雪巨龙
0700,仙子伊布,Sylveon,仙子精靈|仙子伊貝
0701,摔角鷹人,Hawlucha,摔角鹰人|戰鬥飛鳥|战斗飞鸟
0702,咚咚鼠,Dedenne,
0703,小碎鑽,Carbink,小碎钻
0704,黏黏寶,Goomy,黏黏宝
0705,黏美兒,Sliggoo,黏美儿|黏美伊兒
0706,黏美龍,Goodra,黏美龙|黏美露龍
0707,鑰圈兒,Klefki,钥圈儿|鎖圈兒
0708,小木靈,Phantump,小木灵
0709,朽木妖,Trevenant,
0710,南瓜精,Pumpkaboo,
0711,南瓜怪人,Gourgeist,
0712,冰寶,Bergmite,冰宝
0713,冰岩怪,Avalugg,
0714,嗡蝠,Noibat,
0715,音波龍,Noivern,音波龙|音波飛龍
0716,哲爾尼亞斯,Xerneas,哲尔尼亚斯
0717,伊裴爾塔爾,Yveltal,伊裴尔塔尔|伊秘魯塔路
0718,基格爾德,Zygarde,基格尔德
0719,蒂安希,Diancie,
0720,胡帕,Hoopa,
0721,波爾凱尼恩,Volcanion,波尔凯尼恩
0722,木木梟,Rowlet,木木枭
0723,投羽梟,Dartrix,投羽枭
0724,狙射樹梟,Decidueye,狙射树枭
0725,火斑喵,Litten,
0726,炎熱喵,Torracat,炎热喵
0727,熾焰咆哮虎,Incineroar,炽焰咆哮虎
0728,球球海獅,Popplio,球球海狮
0729,花漾海獅,Brionne,花漾海狮
0730,西獅海壬,Primarina,西狮海壬
0731,小篤兒,Pikipek,小笃儿
0732,喇叭啄鳥,Trumbeak,喇叭啄鸟
0733,銃嘴大鳥,Toucannon,铳嘴大鸟
0734,貓鼬少,Yungoos,猫鼬少
0735,貓鼬探長,Gumshoos,猫鼬探长
0736,強顎雞母蟲,Grubbin,强颚鸡母虫
0737,蟲電寶,Charjabug,虫电宝
0738,鍬農炮蟲,Vikavolt,锹农炮虫
0739,好勝蟹,Crabrawler,好胜蟹
0740,好勝毛蟹,Crabominable,好胜毛蟹
0741,花舞鳥,Oricorio,花舞鸟
0742,萌虻,Cutiefly,
0743,蝶結萌虻,Ribombee,蝶结萌虻
0744,岩狗狗,Rockruff,
0745,鬃岩狼人,Lycanroc,
0746,弱丁魚,Wishiwashi,弱丁鱼
0747,好壞星,Mareanie,好坏星
0748,超壞星,Toxapex,超坏星
0749,泥驢仔,Mudbray,泥驴仔
0750,重泥挽馬,Mudsdale,重泥挽马
0751,滴蛛,Dewpider,
0752,滴蛛霸,Araquanid,
0753,偽螳草,Fomantis,伪螳草
0754,蘭螳花,Lurantis,兰螳花
0755,睡睡菇,Morelull,
0756,燈罩夜菇,Shiinotic,灯罩夜菇
0757,夜盜火蜥,Salandit,夜盗火蜥
0758,焰后蜥,Salazzle,
0759,童偶熊,Stufful,
0760,穿著熊,Bewear,穿着熊
0761,甜竹竹,Bounsweet,
0762,甜舞妮,Steenee,
0763,甜冷美后,Tsareena,
0764,花療環環,Comfey,花疗环环
0765,智揮猩,Oranguru,智挥猩
0766,投擲猴,Passimian,投掷猴
0767,膽小蟲,Wimpod,胆小虫
0768,具甲武者,Golisopod,
0769,沙丘娃,Sandygast,
0770,噬沙堡爺,Palossand,噬沙堡爷
0771,拳海參,Pyukumuku,拳海参
0772,屬性：空,Type: Null,属性：空
0773,銀伴戰獸,Silvally,银伴战兽
0774,小隕星,Minior,小陨星
0775,樹枕尾熊,Komala,树枕尾熊
0776,爆焰龜獸,Turtonator,爆焰龟兽
0777,托戈德瑪爾,Togedemaru,托戈德玛尔
0778,謎擬Ｑ,Mimikyu,谜拟Ｑ|谜拟丘
0779,磨牙彩皮魚,Bruxish,磨牙彩皮鱼
0780,老翁龍,Drampa,老翁龙
0781,破破舵輪,Dhelmise,破破舵轮
0782,心鱗寶,Jangmo-o,心鳞宝
0783,鱗甲龍,Hakamo-o,鳞甲龙
0784,杖尾鱗甲龍,Kommo-o,杖尾鳞甲龙
0785,卡璞・鳴鳴,Tapu Koko,卡璞・鸣鸣
0786,卡璞・蝶蝶,Tapu Lele,
0787,卡璞・哞哞,Tapu Bulu,
0788,卡璞・鰭鰭,Tapu Fini,卡璞・鳍鳍
0789,科斯莫古,Cosmog,
0790,科斯莫姆,Cosmoem,
0791,索爾迦雷歐,Solgaleo,索尔迦雷欧
0792,露奈雅拉,Lunala,
0793,虛吾伊德,Nihilego,虚吾伊德
0794,爆肌蚊,Buzzwole,
0795,費洛美螂,Pheromosa,费洛美螂
0796,電束木,Xurkitree,电束木
0797,鐵火輝夜,Celesteela,铁火辉夜
0798,紙御劍,Kartana,纸御剑
0799,惡食大王,Guzzlord,恶食大王
0800,奈克洛茲瑪,Necrozma,奈克洛兹玛
0801,瑪機雅娜,Magearna,玛机雅娜
0802,瑪夏多,Marshadow,玛夏多
0803,毒貝比,Poipole,毒贝比
0804,四顎針龍,Naganadel,四颚针龙
0805,壘磊石,Stakataka,垒磊石
0806,砰頭小丑,Blacephalon,砰头小丑
0807,捷拉奧拉,Zeraora,捷拉奥拉
0808,美錄坦,Meltan,美录坦
0809,美錄梅塔,Melmetal,美录梅塔
0810,敲音猴,Grookey,
0811,啪咚猴,Thwackey,
0812,轟擂金剛猩,Rillaboom,轰擂金刚猩
0813,炎兔兒,Scorbunny,炎兔儿
0814,騰蹴小將,Raboot,腾蹴小将
0815,閃焰王牌,Cinderace,闪焰王牌
0816,淚眼蜥,Sobble,泪眼蜥
0817,變澀蜥,Drizzile,变涩蜥
0818,千面避役,Inteleon,
0819,貪心栗鼠,Skwovet,贪心栗鼠
0820,藏飽栗鼠,Greedent,藏饱栗鼠
0821,稚山雀,Rookidee,
0822,藍鴉,Corvisquire,蓝鸦
0823,鋼鎧鴉,Corviknight,钢铠鸦
0824,索偵蟲,Blipbug,索侦虫
0825,天罩蟲,Dottler,天罩虫
0826,以歐路普,Orbeetle,以欧路普
0827,偷兒狐,Nickit,偷儿狐|狡小狐
0828,狐大盜,Thievul,狐大盗|猾大狐
0829,幼棉棉,Gossifleur,
0830,白蓬蓬,Eldegoss,
0831,毛辮羊,Wooloo,毛辫羊
0832,毛毛角羊,Dubwool,
0833,咬咬龜,Chewtle,咬咬龟
0834,暴噬龜,Drednaw,暴噬龟
0835,來電汪,Yamper,来电汪
0836,逐電犬,Boltund,逐电犬
0837,小炭仔,Rolycoly,
0838,大炭車,Carkol,大炭车
0839,巨炭山,Coalossal,
0840,啃果蟲,Applin,啃果虫
0841,蘋裹龍,Flapple,苹裹龙
0842,豐蜜龍,Appletun,丰蜜龙
0843,沙包蛇,Silicobra,
0844,沙螺蟒,Sandaconda,
0845,古月鳥,Cramorant,古月鸟
0846,刺梭魚,Arrokuda,刺梭鱼
0847,戽斗尖梭,Barraskewda,
0848,毒電嬰,Toxel,毒电婴|电音婴
0849,顫弦蠑螈,Toxtricity,颤弦蝾螈
0850,燒火蚣,Sizzlipede,烧火蚣
0851,焚焰蚣,Centiskorch,
0852,拳拳蛸,Clobbopus,
0853,八爪武師,Grapploct,八爪武师
0854,來悲茶,Sinistea,来悲茶
0855,怖思壺,Polteageist,怖思壶
0856,迷布莉姆,Hatenna,
0857,提布莉姆,Hattrem,
0858,布莉姆溫,Hatterene,布莉姆温
0859,搗蛋小妖,Impidimp,捣蛋小妖
0860,詐唬魔,Morgrem,诈唬魔
0861,長毛巨魔,Grimmsnarl,长毛巨魔
0862,堵攔熊,Obstagoon,堵拦熊
0863,喵頭目,Perrserker,喵头目
0864,魔靈珊瑚,Cursola,魔灵珊瑚
0865,蔥遊兵,Sirfetch'd,葱游兵
0866,踏冰人偶,Mr. Rime,
0867,死神板,Runerigus,迭失板
0868,小仙奶,Milcery,
0869,霜奶仙,Alcremie,
0870,列陣兵,Falinks,列阵兵
0871,啪嚓海膽,Pincurchin,啪嚓海胆
0872,雪吞蟲,Snom,雪吞虫
0873,雪絨蛾,Frosmoth,雪绒蛾
0874,巨石丁,Stonjourner,
0875,冰砌鵝,Eiscue,冰砌鹅
0876,愛管侍,Indeedee,爱管侍
0877,莫魯貝可,Morpeko,莫鲁贝可
0878,銅象,Cufant,铜象
0879,大王銅象,Copperajah,大王铜象
0880,雷鳥龍,Dracozolt,雷鸟龙
0881,雷鳥海獸,Arctozolt,雷鸟海兽
0882,鰓魚龍,Dracovish,鳃鱼龙
0883,鰓魚海獸,Arctovish,鳃鱼海兽
0884,鋁鋼龍,Duraludon,铝钢龙
0885,多龍梅西亞,Dreepy,多龙梅西亚
0886,多龍奇,Drakloak,多龙奇
0887,多龍巴魯托,Dragapult,多龙巴鲁托
0888,蒼響,Zacian,苍响
0889,藏瑪然特,Zamazenta,藏玛然特
0890,無極汰那,Eternatus,无极汰那
0891,熊徒弟,Kubfu,
0892,武道熊師,Urshifu,武道熊师
0893,薩戮德,Zarude,萨戮德
0894,雷吉艾勒奇,Regieleki,
0895,雷吉鐸拉戈,Regidrago,雷吉铎拉戈
0896,雪暴馬,Glastrier,雪暴马
0897,靈幽馬,Spectrier,灵幽马
0898,蕾冠王,Calyrex,
0899,詭角鹿,Wyrdeer,诡角鹿
0900,劈斧螳螂,Kleavor,
0901,月月熊,Ursaluna,
0902,幽尾玄魚,Basculegion,幽尾玄鱼
0903,大狃拉,Sneasler,
0904,萬針魚,Overqwil,万针鱼
0905,眷戀雲,Enamorus,眷恋云
0906,新葉喵,Sprigatito,新叶喵
0907,蒂蕾喵,Floragato,
0908,魔幻假面喵,Meowscarada,
0909,呆火鱷,Fuecoco,呆火鳄
0910,炙燙鱷,Crocalor,炙烫鳄
0911,骨紋巨聲鱷,Skeledirge,骨纹巨声鳄
0912,潤水鴨,Quaxly,润水鸭
0913,湧躍鴨,Quaxwell,涌跃鸭
0914,狂歡浪舞鴨,Quaquaval,狂欢浪舞鸭
0915,愛吃豚,Lechonk,爱吃豚
0916,飄香豚,Oinkologne,飘香豚
0917,團珠蛛,Tarountula,团珠蛛
0918,操陷蛛,Spidops,
0919,豆蟋蟀,Nymble,
0920,烈腿蝗,Lokix,
0921,布撥,Pawmi,布拨
0922,布土撥,Pawmo,布土拨
0923,巴布土撥,Pawmot,巴布土拨
0924,一對鼠,Tandemaus,一对鼠
0925,一家鼠,Maushold,
0926,狗仔包,Fidough,
0927,麻花犬,Dachsbun,
0928,迷你芙,Smoliv,
0929,奧利紐,Dolliv,奥利纽
0930,奧利瓦,Arboliva,奥利瓦
0931,怒鸚哥,Squawkabilly,怒鹦哥
0932,鹽石寶,Nacli,盐石宝
0933,鹽石壘,Naclstack,盐石垒
0934,鹽石巨靈,Garganacl,盐石巨灵
0935,炭小侍,Charcadet,
0936,紅蓮鎧騎,Armarouge,红莲铠骑
0937,蒼炎刃鬼,Ceruledge,苍炎刃鬼
0938,光蚪仔,Tadbulb,
0939,電肚蛙,Bellibolt,电肚蛙
0940,電海燕,Wattrel,电海燕
0941,大電海燕,Kilowattrel,大电海燕
0942,偶叫獒,Maschiff,
0943,獒教父,Mabosstiff,
0944,滋汁鼴,Shroodle,滋汁鼹
0945,塗標客,Grafaiai,涂标客
0946,納噬草,Bramblin,纳噬草
0947,怖納噬草,Brambleghast,怖纳噬草
0948,原野水母,Toedscool,
0949,陸地水母,Toedscruel,陆地水母
0950,毛崖蟹,Klawf,
0951,熱辣娃,Capsakid,热辣娃
0952,狠辣椒,Scovillain,
0953,蟲滾泥,Rellor,虫滚泥
0954,蟲甲聖,Rabsca,虫甲圣
0955,飄飄雛,Flittle,飘飘雏
0956,超能豔鴕,Espathra,超能艳鸵
0957,小鍛匠,Tinkatink,小锻匠
0958,巧鍛匠,Tinkatuff,巧锻匠
0959,巨鍛匠,Tinkaton,巨锻匠
0960,海地鼠,Wiglett,
0961,三海地鼠,Wugtrio,
0962,下石鳥,Bombirdier,下石鸟
0963,波普海豚,Finizen,
0964,海豚俠,Palafin,海豚侠
0965,噗隆隆,Varoom,
0966,普隆隆姆,Revavroom,
0967,摩托蜥,Cyclizar,
0968,拖拖蚓,Orthworm,
0969,晶光芽,Glimmet,
0970,晶光花,Glimmora,
0971,墓仔狗,Greavard,
0972,墓揚犬,Houndstone,墓扬犬
0973,纏紅鶴,Flamigo,缠红鹤
0974,走鯨,Cetoddle,走鲸
0975,浩大鯨,Cetitan,浩大鲸
0976,輕身鱈,Veluza,轻身鳕
0977,吃吼霸,Dondozo,
0978,米立龍,Tatsugiri,米立龙
0979,棄世猴,Annihilape,弃世猴
0980,土王,Clodsire,
0981,奇麒麟,Farigiraf,
0982,土龍節節,Dudunsparce,土龙节节
0983,仆斬將軍,Kingambit,仆刀将军
0984,雄偉牙,Great Tusk,雄伟牙
0985,吼叫尾,Scream Tail,
0986,猛惡菇,Brute Bonnet,猛恶菇
0987,振翼髮,Flutter Mane,振翼发
0988,爬地翅,Slither Wing,
0989,沙鐵皮,Sandy Shocks,沙铁皮
0990,鐵轍跡,Iron Treads,铁辙迹
0991,鐵包袱,Iron Bundle,铁包袱
0992,鐵臂膀,Iron Hands,铁臂膀
0993,鐵脖頸,Iron Jugulis,铁脖颈
0994,鐵毒蛾,Iron Moth,铁毒蛾
0995,鐵荊棘,Iron Thorns,铁荆棘
0996,涼脊龍,Frigibax,凉脊龙
0997,凍脊龍,Arctibax,冻脊龙
0998,戟脊龍,Baxcalibur,戟脊龙
0999,索財靈,Gimmighoul,索财灵
1000,賽富豪,Gholdengo,赛富豪
1001,古簡蝸,Wo-Chien,古简蜗
1002,古劍豹,Chien-Pao,古剑豹
1003,古鼎鹿,Ting-Lu,
1004,古玉魚,Chi-Yu,古玉鱼
1005,轟鳴月,Roaring Moon,轰鸣月
1006,鐵武者,Iron Valiant,铁武者
1007,故勒頓,Koraidon,故勒顿
1008,密勒頓,Miraidon,密勒顿
1009,波盪水,Walking Wake,波荡水
1010,鐵斑葉,Iron Leaves,铁斑叶
1011,裹蜜蟲,Dipplin,裹蜜虫
1012,斯魔茶,Poltchageist,
1013,來悲粗茶,Sinistcha,来悲粗茶
1014,夠讚狗,Okidogi,够赞狗
1015,願增猿,Munkidori,愿增猿
1016,吉雉雞,Fezandipiti,吉雉鸡
1017,厄鬼椪,Ogerpon,厄诡椪
1018,鋁鋼橋龍,Archaludon,铝钢桥龙
1019,蜜集大蛇,Hydrapple,
1020,破空焰,Gouging Fire,
1021,猛雷鼓,Raging Bolt,
1022,鐵磐岩,Iron Boulder,铁磐岩
1023,鐵頭殼,Iron Crown,铁头壳
1024,太樂巴戈斯,Terapagos,太乐巴戈斯
1025,桃歹郎,Pecharunt,
